,Journal name,JCR Abbreviation,ISSN,eISSN,Category,Total Citations,2021 JIF,JIF Quartile,2021 JCI,% of OA Gold
84,ACTA DIABETOLOGICA,ACTA DIABETOL,0940-5429,1432-5233,ENDOCRINOLOGY & METABOLISM - SCIE,"5,746",4.087,Q2,0.9,23.28%
85,ACTA ENDOCRINOLOGICA-BUCHAREST,ACTA ENDOCRINOL-BUCH,1841-0987,1843-066X,ENDOCRINOLOGY & METABOLISM - SCIE,520,1.104,Q4,0.2,0%
86,ACTA HISTOCHEMICA,ACTA HISTOCHEM,0065-1281,1618-0372,CELL BIOLOGY - SCIE,"3,233",2.147,Q4,0.32,4.56%
88,ACTA HISTOCHEMICA ET CYTOCHEMICA,ACTA HISTOCHEM CYTOC,0044-5991,1347-5800,CELL BIOLOGY - SCIE,549,1.857,Q4,0.24,100%
90,ACTA MATHEMATICA SINICA-ENGLISH SERIES,ACTA MATH SIN,1439-8516,1439-7617,"MATHEMATICS, APPLIED - SCIE","1,923",0.833,Q4,0.5,0%
91,ACTA MATHEMATICAE APPLICATAE SINICA-ENGLISH SERIES,ACTA MATH APPL SIN-E,0168-9673,1618-3932,"MATHEMATICS, APPLIED - SCIE",809,0.691,Q4,0.38,0%
92,ACTA MECHANICA ET AUTOMATICA,ACTA MECH AUTOMATICA,1898-4088,2300-5319,"ENGINEERING, MECHANICAL - ESCI",259,,,0.27,97.96%
93,ACTA MECHANICA SINICA,ACTA MECH SINICA-PRC,0567-7718,1614-3116,"ENGINEERING, MECHANICAL - SCIE","3,079",2.91,Q2,0.64,5.12%
94,ACTA MICROBIOLOGICA ET IMMUNOLOGICA HUNGARICA,ACTA MICROBIOL IMM H,1217-8950,1588-2640,IMMUNOLOGY - SCIE,696,2.298,Q4,0.39,12.50%
95,ACTA NATURAE,ACTA NATURAE,2075-8251,2075-8251,CELL BIOLOGY - SCIE,"1,507",2.204,Q4,0.22,90.07%
97,ACTA NEUROBIOLOGIAE EXPERIMENTALIS,ACTA NEUROBIOL EXP,0065-1400,1689-0035,NEUROSCIENCES - SCIE,"1,418",1.269,Q4,0.27,84.21%
98,ACTA NEUROCHIRURGICA,ACTA NEUROCHIR,0001-6268,0942-0940,CLINICAL NEUROLOGY - SCIE,"12,582",2.816,Q3,0.78,26.01%
99,ACTA NEUROLOGICA BELGICA,ACTA NEUROL BELG,0300-9009,2240-2993,NEUROSCIENCES - SCIE,"2,132",2.471,Q4,0.45,5.13%
101,ACTA NEUROLOGICA SCANDINAVICA,ACTA NEUROL SCAND,0001-6314,1600-0404,CLINICAL NEUROLOGY - SCIE,"8,854",3.915,Q2,0.83,15.15%
102,ACTA NEUROPATHOLOGICA,ACTA NEUROPATHOL,0001-6322,1432-0533,CLINICAL NEUROLOGY - SCIE,"30,046",15.887,Q1,3.64,57.18%
104,ACTA NEUROPATHOLOGICA COMMUNICATIONS,ACTA NEUROPATHOL COM,2051-5960,2051-5960,NEUROSCIENCES - SCIE,"8,201",7.578,Q1,1.57,99.83%
105,ACTA NEUROPSYCHIATRICA,ACTA NEUROPSYCHIATR,1601-5215,1601-5215,NEUROSCIENCES - SCIE,"1,481",4.513,Q2,0.61,14.96%
106,ACTA OF BIOENGINEERING AND BIOMECHANICS,ACTA BIOENG BIOMECH,1509-409X,,BIOPHYSICS - SCIE,987,1.238,Q4,0.28,73.02%
108,ACTA ONCOLOGICA,ACTA ONCOL,0284-186X,1651-226X,ONCOLOGY - SCIE,"10,397",4.311,Q2,0.63,27.88%
109,ACTA OPHTHALMOLOGICA,ACTA OPHTHALMOL,1755-375X,1755-3768,OPHTHALMOLOGY - SCIE,"13,292",3.988,Q2,1.16,28.32%
110,ACTA OTO-LARYNGOLOGICA,ACTA OTO-LARYNGOL,0001-6489,1651-2251,OTORHINOLARYNGOLOGY - SCIE,"9,033",1.698,Q4,0.65,7.95%
112,ACTA OTO-LARYNGOLOGICA CASE REPORTS,ACTA OTO-LARYNGOL CA,2377-2484,2377-2484,OTORHINOLARYNGOLOGY - ESCI,26,,,0.09,100%
114,ACTA OTORHINOLARYNGOLOGICA ITALICA,ACTA OTORHINOLARYNGO,0392-100X,1827-675X,OTORHINOLARYNGOLOGY - SCIE,"2,586",2.618,Q2,0.88,99.06%
116,ACTA OTORRINOLARINGOLOGICA ESPANOLA,ACTA OTORRINOLAR ESP,0001-6519,1988-3013,OTORHINOLARYNGOLOGY - ESCI,819,,,0.42,0%
118,ACTA PHARMACEUTICA,ACTA PHARMACEUT,1330-0075,1846-9558,PHARMACOLOGY & PHARMACY - SCIE,"1,592",3.299,Q3,0.72,99.24%
119,ACTA PHARMACEUTICA SINICA B,ACTA PHARM SIN B,2211-3835,2211-3843,PHARMACOLOGY & PHARMACY - SCIE,"9,420",14.903,Q1,3.29,98.68%
120,ACTA PHARMACOLOGICA SINICA,ACTA PHARMACOL SIN,1671-4083,1745-7254,"CHEMISTRY, MULTIDISCIPLINARY - SCIE","14,909",7.169,Q1,1.22,4.77%
123,ACTA PHYSICO-CHIMICA SINICA,ACTA PHYS-CHIM SIN,1000-6818,,"CHEMISTRY, PHYSICAL - SCIE","4,986",6.253,Q2,0.45,0%
124,ACTA PHYSIOLOGICA,ACTA PHYSIOL,1748-1708,1748-1716,PHYSIOLOGY - SCIE,"7,295",7.523,Q1,1.44,26.14%
126,ACTA POLONIAE PHARMACEUTICA,ACTA POL PHARM,0001-6837,2353-5288,PHARMACOLOGY & PHARMACY - SCIE,"2,360",0.555,Q4,0.11,27.85%
127,ACTA PSYCHOLOGICA,ACTA PSYCHOL,0001-6918,1873-6297,"PSYCHOLOGY, EXPERIMENTAL - SSCI","7,711",1.984,Q4,0.56,42.04%
128,ACTA PSYCHOLOGICA SINICA,ACTA PSYCHOL SIN,0439-755X,,"PSYCHOLOGY, MULTIDISCIPLINARY - ESCI","1,571",,,0.2,0.30%
129,ACTA RADIOLOGICA,ACTA RADIOL,0284-1851,1600-0455,"RADIOLOGY, NUCLEAR MEDICINE & MEDICAL IMAGING - SCIE","6,627",1.701,Q4,0.44,2.61%
130,ACTA RADIOLOGICA OPEN,ACTA RADIOL OPEN,,2058-4601,"RADIOLOGY, NUCLEAR MEDICINE & MEDICAL IMAGING - ESCI",404,,,0.31,89.47%
131,ACTA SCIENTIARUM-HEALTH SCIENCES,ACTA SCI-HEALTH SCI,1679-9291,1807-8648,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH - ESCI",86,,,0.05,91.95%
132,ACTA SCIENTIARUM-TECHNOLOGY,ACTA SCI-TECHNOL,1806-2563,1807-8664,MULTIDISCIPLINARY SCIENCES - SCIE,548,0.655,Q4,0.13,92.70%
133,ACTAS DERMO-SIFILIOGRAFICAS,ACTAS DERMO-SIFILOGR,0001-7310,1578-2190,DERMATOLOGY - ESCI,"2,039",,,0.55,64.19%
134,ACTAS ESPANOLAS DE PSIQUIATRIA,ACTAS ESP PSIQUIATRI,1139-9287,1578-2735,NEUROSCIENCES - SCIE,811,1.667,Q4,0.29,0%
135,ACTIVE AND PASSIVE ELECTRONIC COMPONENTS,ACT PASSIV ELECTRON,0882-7516,1563-5031,"ENGINEERING, ELECTRICAL & ELECTRONIC - ESCI",143,,,0.16,100%
136,ACTUALITES PHARMACEUTIQUES,ACTUAL PHARMACEUT,0515-3700,0515-3700,PHARMACOLOGY & PHARMACY - ESCI,44,,,0.02,0%
137,ACTUATORS,ACTUATORS,,2076-0825,"ENGINEERING, MECHANICAL - SCIE","1,335",2.523,Q3,0.55,94.69%
138,ACUPUNCTURE & ELECTRO-THERAPEUTICS RESEARCH,ACUPUNCTURE ELECTRO,0360-1293,2167-9010,NEUROSCIENCES - SCIE,251,0.684,Q4,0.11,12.12%
139,AD ALTA-JOURNAL OF INTERDISCIPLINARY RESEARCH,AD ALTA-INTERDISCIP,1804-7890,1804-7890,MULTIDISCIPLINARY SCIENCES - ESCI,513,,,0.14,0.09%
140,ADAPTIVE BEHAVIOR,ADAPT BEHAV,1059-7123,1741-2633,"PSYCHOLOGY, EXPERIMENTAL - SSCI",853,1.867,Q4,0.63,17.12%
141,ADAPTIVE HUMAN BEHAVIOR AND PHYSIOLOGY,ADAPT HUM BEHAV PHYS,2198-7335,2198-7335,"PSYCHOLOGY, BIOLOGICAL - ESCI",376,,,0.53,25.71%
142,ADDICTION BIOLOGY,ADDICT BIOL,1355-6215,1369-1600,BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE,"6,186",4.093,Q3,0.99,16.40%
144,ADDICTIVE BEHAVIORS,ADDICT BEHAV,0306-4603,1873-6327,"PSYCHOLOGY, CLINICAL - SSCI","19,814",4.591,Q2,1.27,5.56%
145,ADIPOCYTE,ADIPOCYTE,2162-3945,2162-397X,ENDOCRINOLOGY & METABOLISM - SCIE,"1,400",3.553,Q3,0.63,98.68%
146,ADMET AND DMPK,ADMET DMPK,1848-7718,1848-7718,"CHEMISTRY, MEDICINAL - ESCI",258,,,0.49,85.94%
148,ADMINISTRATION AND POLICY IN MENTAL HEALTH AND MENTAL HEALTH SERVICES RESEARCH,ADM POLICY MENT HLTH,0894-587X,1573-3289,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH - SSCI","4,844",2.619,Q3,0.92,17.15%
149,ADSORPTION SCIENCE & TECHNOLOGY,ADSORPT SCI TECHNOL,0263-6174,2048-4038,"CHEMISTRY, APPLIED - SCIE; CHEMISTRY, PHYSICAL - SCIE","2,555",4.373,Q2,0.69,98.08%
150,ADSORPTION-JOURNAL OF THE INTERNATIONAL ADSORPTION SOCIETY,ADSORPTION,0929-5607,1572-8757,"CHEMISTRY, PHYSICAL - SCIE","4,249",2.964,Q3,0.41,26.36%
151,ADULTSPAN JOURNAL,ADULTSPAN J,1524-6817,2161-0029,"PSYCHOLOGY, MULTIDISCIPLINARY - ESCI",141,,,0.25,0%
152,ADVANCED BIOMEDICAL ENGINEERING,ADV BIOMED ENG,2187-5219,2187-5219,"ENGINEERING, BIOMEDICAL - ESCI",127,,,0.16,100%
153,ADVANCED COMPOSITES AND HYBRID MATERIALS,ADV COMPOS HYBRID MA,2522-0128,2522-0136,NANOSCIENCE & NANOTECHNOLOGY - SCIE,"2,588",11.806,Q1,1.17,1.62%
154,ADVANCED DRUG DELIVERY REVIEWS,ADV DRUG DELIVER REV,0169-409X,1872-8294,PHARMACOLOGY & PHARMACY - SCIE,"47,828",17.873,Q1,2.33,16.70%
155,ADVANCED ELECTROMAGNETICS,ADV ELECTROMAGN,2119-0275,2119-0275,"ENGINEERING, ELECTRICAL & ELECTRONIC - ESCI",233,,,0.17,33.09%
156,ADVANCED ELECTRONIC MATERIALS,ADV ELECTRON MATER,2199-160X,2199-160X,NANOSCIENCE & NANOTECHNOLOGY - SCIE,"12,682",7.633,Q2,1.09,12.17%
157,ADVANCED ENERGY MATERIALS,ADV ENERGY MATER,1614-6832,1614-6840,"CHEMISTRY, PHYSICAL - SCIE","116,667",29.698,Q1,3.94,12.65%
158,ADVANCED FUNCTIONAL MATERIALS,ADV FUNCT MATER,1616-301X,1616-3028,"CHEMISTRY, MULTIDISCIPLINARY - SCIE; CHEMISTRY, PHYSICAL - SCIE","194,635",19.924,Q1,2.66,10.07%
160,ADVANCED HEALTHCARE MATERIALS,ADV HEALTHC MATER,2192-2640,2192-2659,NANOSCIENCE & NANOTECHNOLOGY - SCIE,"24,096",11.092,Q1,1.37,13.18%
162,ADVANCED MATERIALS,ADV MATER,0935-9648,1521-4095,"CHEMISTRY, MULTIDISCIPLINARY - SCIE; NANOSCIENCE & NANOTECHNOLOGY - SCIE","361,407",32.086,Q1,4.18,11.97%
164,ADVANCED MATERIALS INTERFACES,ADV MATER INTERFACES,2196-7350,2196-7350,"CHEMISTRY, MULTIDISCIPLINARY - SCIE","18,339",6.389,Q2,0.86,14.68%
166,ADVANCED NONLINEAR STUDIES,ADV NONLINEAR STUD,1536-1365,2169-0375,"MATHEMATICS, APPLIED - SCIE",967,1.682,Q2,0.77,8.40%
167,ADVANCED PHARMACEUTICAL BULLETIN,ADV PHARM BULL,2228-5881,2251-7308,PHARMACOLOGY & PHARMACY - ESCI,"2,876",,,0.87,96.17%
168,ADVANCED SCIENCE,ADV SCI,,2198-3844,"CHEMISTRY, MULTIDISCIPLINARY - SCIE","42,938",17.521,Q1,2.23,95.98%
170,ADVANCED SYNTHESIS & CATALYSIS,ADV SYNTH CATAL,1615-4150,1615-4169,"CHEMISTRY, APPLIED - SCIE","29,229",5.981,Q1,1.23,7.32%
171,ADVANCED THEORY AND SIMULATIONS,ADV THEOR SIMUL,,2513-0390,MULTIDISCIPLINARY SCIENCES - SCIE,"1,842",4.105,Q2,0.7,13.88%
172,ADVANCED THERAPEUTICS,ADV THER-GERMANY,,2366-3987,PHARMACOLOGY & PHARMACY - SCIE,"1,966",5.003,Q2,1.21,17.49%
173,ADVANCEMENTS IN LIFE SCIENCES,ADV LIFE SCI-PAK,2310-5380,2310-5380,BIOLOGY - ESCI,281,,,0.15,0%
174,ADVANCES IN AERODYNAMICS,ADV AERODYNAM,,2524-6992,"ENGINEERING, MECHANICAL - ESCI",115,,,0.54,100%
175,ADVANCES IN ANATOMY EMBRYOLOGY AND CELL BIOLOGY,ADV ANAT EMBRYOL CEL,0301-5556,2192-7065,CELL BIOLOGY - SCIE,755,1.231,Q4,0.28,0%
177,ADVANCES IN APPLIED CLIFFORD ALGEBRAS,ADV APPL CLIFFORD AL,0188-7009,1661-4909,"MATHEMATICS, APPLIED - SCIE; PHYSICS, MATHEMATICAL - SCIE","1,052",1.185,Q3,0.56,12.40%
178,ADVANCES IN APPLIED MATHEMATICS,ADV APPL MATH,0196-8858,1090-2074,"MATHEMATICS, APPLIED - SCIE","1,929",1.271,Q3,0.59,6.82%
179,ADVANCES IN APPLIED MATHEMATICS AND MECHANICS,ADV APPL MATH MECH,2070-0733,2075-1354,"MATHEMATICS, APPLIED - SCIE",827,1.295,Q3,0.62,0%
180,ADVANCES IN APPLIED MECHANICS,ADV APPL MECH,0065-2156,,"ENGINEERING, MECHANICAL - SCIE","1,696",17.4,Q1,1.07,0%
181,ADVANCES IN CALCULUS OF VARIATIONS,ADV CALC VAR,1864-8258,1864-8266,"MATHEMATICS, APPLIED - SCIE",448,2.973,Q1,1.99,5.88%
182,ADVANCES IN CANCER RESEARCH,ADV CANCER RES,0065-230X,2162-5557,ONCOLOGY - SCIE,"3,514",5.767,Q2,0.66,0%
183,ADVANCES IN CARBOHYDRATE CHEMISTRY AND BIOCHEMISTRY,ADV CARBOHYD CHEM BI,0065-2318,2162-5530,BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE,"1,121",3.8,Q1,,
185,ADVANCES IN CATALYSIS,ADV CATAL,0360-0564,2163-0747,"CHEMISTRY, PHYSICAL - SCIE","1,959",6.875,Q2,0.2,0%
186,ADVANCES IN COGNITIVE PSYCHOLOGY,ADV COGN PSYCHOL,1895-1171,1895-1171,"PSYCHOLOGY, EXPERIMENTAL - SSCI",558,1.217,Q4,0.33,100%
187,ADVANCES IN COLLOID AND INTERFACE SCIENCE,ADV COLLOID INTERFAC,0001-8686,1873-3727,"CHEMISTRY, PHYSICAL - SCIE","22,390",15.19,Q1,1.44,5.23%
188,ADVANCES IN COMPLEX SYSTEMS,ADV COMPLEX SYST,0219-5259,1793-6802,MULTIDISCIPLINARY SCIENCES - SCIE,699,0.58,Q4,0.37,7.46%
189,ADVANCES IN COMPUTATIONAL MATHEMATICS,ADV COMPUT MATH,1019-7168,1572-9044,"MATHEMATICS, APPLIED - SCIE","2,745",1.929,Q2,1.0,18.79%
190,ADVANCES IN DIFFERENCE EQUATIONS,ADV DIFFER EQU-NY,1687-1847,1687-1847,"MATHEMATICS, APPLIED - SCIE","9,695",3.761,Q1,2.39,99.83%
191,ADVANCES IN DIFFERENTIAL EQUATIONS,ADV DIFFERENTIAL EQU,1079-9389,1079-9389,"MATHEMATICS, APPLIED - SCIE",954,1.103,Q3,0.86,0%
192,ADVANCES IN DIFFERENTIAL EQUATIONS AND CONTROL PROCESSES,ADV DIFFER EQU CONTR,0974-3243,0974-3243,"MATHEMATICS, APPLIED - ESCI",35,,,0.1,24.69%
193,ADVANCES IN DUAL DIAGNOSIS,ADV DUAL DIAGN,1757-0972,2042-8324,"PSYCHOLOGY, CLINICAL - ESCI",142,,,0.3,0%
